student_id,age,gender,study_hours_per_week,attendance_pct,math_score,english_score,science_score,passed_exam,socioeconomic_index,school_type,tutoring
S0067,18,male,1.0,76.0,59.3,48.6,59.0,True,2.67,urban,no
S0068,15,male,13.8,89.8,58.8,47.9,59.9,True,,urban,yes
S0069,18,male,3.6,82.1,52.6,49.6,66.2,True,,urban,no
S0070,16,male,1.1,75.8,56.8,60.7,51.7,True,,urban,no
S0071,16,male,5.9,100.0,27.5,40.1,37.2,False,8.6,urban,yes
S0072,16,female,11.8,81.1,75.3,61.3,61.0,True,7.85,suburban,no
S0073,15,male,1.9,68.5,70.9,58.0,59.8,True,6.64,urban,yes
S0074,16,male,7.8,100.0,63.7,54.2,57.4,True,2.18,urban,yes
S0075,15,male,1.0,93.0,68.6,51.9,62.2,True,,urban,yes
S0076,16,female,1.0,100.0,69.1,56.0,69.6,True,9.29,urban,no
S0077,18,male,6.1,73.3,54.1,49.3,56.2,False,6.55,urban,no
S0078,18,male,60.0,89.6,57.0,60.2,56.2,True,,rural,no
S0079,17,male,8.1,53.2,72.9,63.6,71.3,True,,urban,no
S0080,18,female,10.4,86.8,68.1,57.6,70.3,True,,urban,yes
S0081,17,male,29.8,72.6,95.6,88.3,97.1,True,2.13,urban,no
S0082,18,female,5.8,54.7,89.3,69.1,80.5,True,7.17,urban,no
S0083,15,female,3.1,90.5,79.0,73.8,75.9,True,4.87,urban,yes
S0084,18,male,12.7,47.8,53.6,63.6,54.0,True,2.8,urban,no
S0085,17,female,2.5,46.3,56.5,47.8,59.4,False,5.42,urban,yes
S0086,17,male,4.6,80.4,50.0,53.4,47.1,False,1.58,urban,no
S0087,16,female,1.0,83.6,69.2,59.8,68.2,True,6.24,urban,no
S0088,15,female,1.0,89.6,23.9,36.7,27.1,False,,urban,yes
S0089,18,female,26.3,86.1,58.1,60.0,54.9,True,,urban,yes
S0090,16,male,14.5,97.1,60.4,54.8,56.9,True,3.79,urban,no
S0091,18,female,9.5,85.5,42.1,46.4,44.2,False,,urban,no
S0092,18,male,4.2,73.0,77.0,65.6,75.2,True,1.1,urban,yes
S0093,16,male,1.5,73.9,47.9,49.9,51.6,False,1.65,urban,no
S0094,16,male,1.4,70.8,69.0,56.2,63.2,True,,urban,yes
S0095,16,female,2.3,79.4,100.0,82.3,95.2,True,,urban,no
S0096,16,female,6.4,58.5,40.8,54.1,41.4,False,6.4,urban,no
S0097,16,male,10.0,80.1,62.8,61.3,66.8,True,3.62,urban,yes
S0098,18,male,8.6,73.7,58.9,55.4,54.5,True,7.25,urban,yes
S0099,16,male,2.6,79.1,56.0,52.2,57.7,True,8.74,urban,yes
S0100,15,female,24.8,79.2,76.4,62.4,76.6,True,,urban,yes
S0101,17,male,10.7,38.2,81.6,81.5,88.3,True,,urban,yes
S0102,16,female,6.5,61.5,76.6,71.4,70.4,True,5.32,urban,no
S0103,16,male,7.6,73.4,54.1,50.5,51.5,False,1.94,urban,yes
S0104,18,female,4.4,74.2,100.0,78.9,92.3,True,,urban,no
S0105,16,male,2.3,78.9,38.4,45.2,32.0,False,9.88,urban,no
S0106,16,male,3.5,79.5,49.5,55.9,59.4,False,2.28,urban,no
S0107,16,male,11.3,97.7,67.5,64.7,60.9,True,5.49,urban,no
S0108,18,female,1.0,79.7,66.3,67.0,61.9,True,6.56,urban,yes
S0109,16,female,1.0,70.3,72.3,59.6,78.1,True,7.32,urban,no
S0110,17,male,1.0,51.0,88.7,72.9,77.8,True,6.04,urban,no
S0111,18,female,0.5,54.5,63.2,50.2,66.9,True,1.09,urban,no
S0112,17,female,15.5,83.0,66.7,54.6,59.3,True,,suburban,yes
S0113,18,female,9.7,90.9,56.1,60.8,62.8,True,,urban,no
S0114,16,female,5.1,98.1,73.8,59.8,62.0,True,1.79,urban,no
S0115,17,male,1.0,62.6,60.2,53.6,51.6,True,4.16,urban,yes
S0116,18,male,5.4,70.4,60.2,58.1,57.7,True,,urban,no
S0117,15,female,5.1,78.6,73.2,68.4,77.2,True,1.71,urban,no
S0118,16,female,1.5,100.0,80.5,62.5,78.9,True,4.57,urban,no
S0119,18,female,4.6,76.7,31.9,25.2,32.7,False,,suburban,no
S0120,15,male,4.1,98.3,70.4,58.5,76.5,True,6.11,urban,no
S0121,18,male,7.7,77.5,60.9,65.0,71.8,True,7.21,urban,yes
S0122,15,female,8.1,92.3,79.2,69.5,81.2,True,8.21,urban,no
S0123,16,female,1.0,90.4,61.2,65.7,58.2,True,,urban,no
S0124,17,female,3.8,77.5,84.5,64.1,80.6,True,2.51,urban,yes
S0125,15,female,7.9,59.7,54.9,46.6,49.1,False,1.94,urban,yes
S0126,18,female,5.6,71.0,31.5,46.2,34.5,False,6.73,urban,no
S0127,16,male,15.5,97.3,80.8,69.7,71.2,True,7.36,urban,yes
S0128,15,male,8.6,88.2,52.3,55.8,55.9,False,1.28,urban,no
S0129,18,female,1.4,68.5,41.3,53.7,53.0,False,9.43,urban,yes
S0130,18,female,1.0,69.9,65.2,62.9,68.6,True,1.47,urban,yes
S0131,18,male,8.2,49.0,61.4,60.9,59.1,True,5.87,urban,yes
S0132,15,male,1.0,96.7,77.3,70.5,78.8,True,,urban,no
S0133,15,female,7.1,88.3,78.4,69.9,85.2,True,8.84,urban,no
S0134,15,male,22.5,72.9,66.4,65.8,73.9,True,7.43,urban,no
S0135,17,male,6.9,78.0,51.7,59.3,47.5,False,8.22,urban,no
S0136,15,female,3.9,42.4,69.3,70.9,71.3,True,,urban,yes
S0137,15,female,8.2,67.7,67.5,58.2,66.3,True,8.33,urban,no
S0138,15,female,4.9,95.0,73.5,67.3,76.7,True,1.72,urban,no
S0139,17,male,6.3,89.7,51.9,52.0,54.7,False,9.05,urban,no
S0140,15,female,22.7,80.0,59.0,53.0,47.4,False,,urban,yes
S0141,18,male,3.9,74.8,72.6,60.6,70.1,True,8.36,urban,no
S0142,15,male,26.0,86.9,83.7,72.5,83.0,True,5.07,urban,yes
S0143,18,female,18.9,70.8,79.5,70.0,71.0,True,,urban,yes
S0144,18,female,1.7,50.0,66.2,63.3,68.8,True,5.74,suburban,no
S0145,18,female,1.0,74.9,57.7,55.6,50.5,False,7.58,urban,no
S0146,17,female,1.0,81.0,71.1,63.6,66.4,True,1.73,urban,no
S0147,17,female,1.0,91.8,48.6,56.7,56.4,False,1.54,urban,no
S0148,17,male,1.0,53.4,52.7,46.3,49.1,False,3.22,urban,no
S0149,15,male,9.2,73.2,87.6,71.9,88.5,True,2.44,urban,no
S0150,18,male,1.0,73.9,71.0,64.0,61.6,True,8.85,urban,no
